Latitude,Longitude,Sentiment,Number of Tweets
34,-108,2.712893588,6
34,-107,3.74408865,1
34,-106,7.51589489,1
34,-104,5.593583597,9
34,-103,-2.161306739,2
34,-102,-1.86724029,40
34,-101,-1.938297034,40
34,-100,4.055330873,2
34,-99,-0.10763971,3
34,-98,0.910949303,40
34,-97,0.910949303,40
34,-96,3.435461119,25
34,-95,3.353228178,30
34,-94,1.668709675,21
34,-93,1.288912371,10
34,-92,2.065831996,26
34,-91,1.587780781,14
34,-90,0.822957192,40
34,-89,1.221856455,40
34,-88,0.648563121,40
34,-87,1.420029154,31
34,-86,3.234086809,40
34,-85,0.43461559,40
34,-84,4.972660542,40
34,-83,4.972660542,40
34,-82,1.371941375,40
34,-81,2.288097799,40
34,-80,0.055848406,40
34,-79,2.202236178,39
34,-78,0.730427692,40
35,-121,2.018452174,40
35,-120,1.408059477,40
35,-119,0.976872432,40
35,-118,-0.176861649,39
35,-117,1.633734229,40
35,-116,2.234484648,17
35,-115,2.696097795,11
35,-114,1.462888902,11
35,-113,2.433559085,19
35,-112,-2.709554911,1
35,-111,5.494731373,40
35,-110,5.166038038,40
35,-109,1.496799403,9
35,-108,2.890693585,3
35,-107,0.293529451,1
35,-106,2.654712148,40
35,-105,2.654712148,40
35,-104,1.61462108,2
35,-103,-0.394342637,5
35,-102,0.641436418,3
35,-101,3.153335912,40
35,-100,4.121123648,5
35,-99,1.462701976,2
35,-98,0.634022914,38
35,-97,0.516622116,35
35,-96,3.047263154,40
35,-95,2.639964493,19
35,-94,12.92416656,2
35,-93,2.529109484,20
35,-92,-0.28256699,38
35,-90,3.4452458,40
35,-89,0.803206828,40
35,-88,3.663156195,12
35,-87,1.517171608,17
35,-86,1.090087745,40
35,-85,0.179041689,40
35,-84,1.014973847,40
35,-83,1.649797182,20
35,-82,3.449128297,40
35,-81,3.850650881,40
35,-80,2.708148739,40
35,-79,3.466833206,27
35,-78,3.13248724,40
35,-77,1.585551323,40
36,-122,3.367362112,40
36,-121,1.851329957,3
36,-120,2.269520449,24
36,-119,1.594030012,40
36,-118,2.927478653,37
36,-117,0.684900135,2
36,-116,6.595395327,4
36,-115,1.696868054,15
36,-113,2.404701546,36
36,-112,4.454495907,2
36,-111,2.825393942,18
36,-110,2.70106079,13
36,-109,0.98881802,4
